Company,Title,Price,Volume,High,Low
BBVA Banco Frances ADR,BFR,22.81,"777,682",23.08,22.18
BBX Capital Cl A,BBX,9.21,"990,366",9.30,9.15
BCE Inc,BCE,43.04,"3,580,393",43.09,42.14
Beazer Homes,BZH,15.95,"1,738,748",16.46,15.67
Becton Dickinson,BDX,216.70,"4,772,643",219.13,211.08
Becton Dickinson Pfd. A,BDXA,58.43,"275,538",58.61,57.12
Belden,BDC,68.94,"4,583,383",70.19,66.10
Belden Dep. Pfd. Series B,BDC.PB,93.28,"972,564",95.64,91.77
Bellatrix Exploration,BXE,1.08,"262,583",1.18,1.03
Belmond,BEL,11.15,"1,407,848",11.70,11.05
Bemis Co,BMS,43.52,"2,333,644",43.80,42.59
Benchmark Electronics,BHE,29.85,"1,564,516",30.70,28.99
WR Berkley,WRB,72.70,"1,766,606",73.29,70.30
Berkshire Hathaway A,BRK.A,298110.00,"1,081",302590.00,291640.00
Berkshire Hathaway B,BRK.B,199.48,"20,474,624",201.44,193.78
Berkshire Hills Bancorp,BHLB,37.95,"588,895",38.60,37.30
Berry Global Group,BERY,54.81,"4,791,371",54.95,53.34
Best Buy,BBY,69.99,"13,886,326",70.65,67.39
BEST ADR,BSTI,10.30,"5,883,640",11.00,9.98
BGC Ptrs 8.125% Nts,BGCA,25.70,"3,720",25.74,25.58
BHP Billiton ADR,BHP,44.43,"10,255,330",45.29,43.35
BHP Billiton ADR,BBL,39.73,"5,706,076",40.35,38.51
Biglari Holdings,BH,408.41,"15,620",416.18,404.51
Big Lots,BIG,43.53,"5,676,912",44.07,42.36
Biohaven Pharm,BHVN,25.76,"17,307,774",26.68,16.50
Bio-Rad Labs A,BIO,250.08,"722,545",254.60,245.84
Bio-Rad Labs B,BIO.B,250.90,305,250.90,250.00
Bitauto Holdings ADR,BITA,21.15,"6,541,215",22.83,19.66
BlackBerry,BB,11.50,"39,922,774",13.18,11.48
Black Hills,BKH,54.30,"1,818,928",54.62,51.84
Black Hills Un,BKHU,60.20,"103,597",60.20,57.95
Black Knight,BKI,47.10,"4,565,314",47.85,46.50
BlackRock CA Muni 2018,BJZ,14.77,"53,673",14.80,14.70
BlackRock CA Municipal Tr,BFZ,12.99,"497,948",13.06,12.95
Blackrock Core Bond Tr,BHK,13.10,"525,106",13.10,12.87
BlackRock Corp Hi Yd Fd,HYT,10.59,"1,777,357",10.62,10.44
BlkRk Credit Alloc Incm,BTZ,12.67,"853,853",12.71,12.54
BlkRk Debt Strat Fd,DSU,11.62,"691,590",11.68,11.60
BlkRk Engy Res Tr,BGR,13.22,"465,897",13.46,12.96
BlkRk Enh Cap Inco,CII,15.75,"733,902",15.84,15.35
BlackRock Enh Eq Div Tr,BDJ,8.73,"2,969,080",8.83,8.60
BlackRock Enh Gl Div Tr,BOE,11.57,"780,628",11.63,11.37
BlkRk Enhncd Govt Fd,EGF,13.03,"54,201",13.03,12.92
BlackRock FR Incm Strat,FRA,14.53,"839,982",14.62,14.43
Blkrk FltRt InTr,BGT,13.98,"138,363",14.03,13.86
BlackRockFL Muni 2020,BFO,14.23,"52,086",14.26,14.15
BlkRk Health Sci,BME,35.00,"161,825",35.05,34.14
BlackRock,BLK,541.72,"2,157,427",547.05,524.07
BlackRock Income Trust,BKT,5.87,"337,031",5.90,5.83
BlkRk Intl Grwth&Inco;,BGY,6.09,"1,371,784",6.13,5.95
Blackrock Invest,BKN,13.73,"155,546",13.77,13.53
BlackRock Long-Term Muni,BTA,11.32,"110,866",11.35,11.20
BlackRockDurInco Tr,BLW,15.08,"360,520",15.12,14.94
BlackRock Multi-Sector IT,BIT,16.79,"546,561",16.83,16.56
BlkRk MuniAssets Fd,MUA,13.49,"268,059",13.49,13.31
BlackRockMuni 2020,BKK,15.08,"86,099",15.16,15.07
BlackRock Muni,BBK,14.31,"66,665",14.34,14.14
BlackRock Mun,BAF,13.93,"42,214",13.94,13.78
BlackRock Mun Inco,BBF,13.06,"69,163",13.08,13.00
BlackRockMuni Tr,BYM,13.15,"166,882",13.15,12.96
BlackRock Municipal Trust,BFK,12.89,"420,220",12.92,12.72
BlackRock Mun 2030 Target,BTT,21.31,"352,436",21.40,21.03
Blackrock Mun 2018 Term,BPK,14.92,"133,995",14.95,14.90
BlkRk Munienhanced,MEN,10.63,"327,075",10.71,10.48
BlkRk MuniHldgs CA Qlty,MUC,13.19,"527,689",13.23,13.04
BlkRk MuniHldgs II,MUH,13.90,"67,263",13.90,13.76
BlkRk MuniHldgs,MHD,15.26,"77,850",15.26,15.07
BlkRk MuniHldgs Inv,MFL,13.07,"441,014",13.10,12.89
Blkrck MunHl NJ Qlty,MUJ,13.39,"209,267",13.39,13.23
BlRk MuHldg NY Qlty,MHN,12.57,"302,220",12.59,12.41
BlkRk MuniHldgs Qlty II,MUE,12.25,"413,569",12.25,12.12
BlkRk MuniHldgs Quality,MUS,12.52,"113,794",12.64,12.38
BlkRk Muni Inter Dur,MUI,13.11,"323,147",13.11,13.02
BlkRk Muni NY Inter Dur,MNE,12.89,"37,495",12.95,12.71
BlkRk MuniVest II,MVT,14.35,"279,243",14.52,14.28
BlkRk MuniYld CA Fd,MYC,13.33,"338,305",13.45,13.17
BlkRk MuniYld CA Quality,MCA,13.32,"541,569",13.32,13.18
BlkRk MuniYield,MYD,13.37,"247,383",13.40,13.23
BlkRk MuniYld Inv,MYF,13.92,"142,764",13.92,13.63
BlkRk MuniYld MI Qlty,MIY,13.30,"266,424",13.35,13.16
BlkRk MuniYld NJ Fd,MYJ,13.96,"137,857",13.98,13.86
BlRk Muyld NY Qlty,MYN,12.05,"277,304",12.11,11.95
BlkRk MuniYld PA Quality,MPA,13.79,"71,507",13.82,13.40
BlkRk MuniYld Qlty II,MQT,12.12,"224,351",12.12,11.92
BlkRk MuniYld Quality,MQY,14.07,"282,710",14.11,13.81
BlRkMunyldQltyIII,MYI,12.64,"731,740",12.64,12.46
BlkRk MuniYld Ins Qlty,MFT,13.18,"59,536",13.18,13.02
BlackRock NJ Municipal Tr,BNJ,14.09,"42,393",14.10,13.94
BlackRock NY Muni 2018,BLH,14.75,"12,343",14.80,14.72
BlkRk NY Muni,BQH,13.22,"24,376",13.22,13.08
BlkrckNYMuni Qlty,BSE,12.50,"57,163",12.52,12.33
BlackRock NY Municipal Tr,BNY,13.07,"77,362",13.11,12.99
BlackRck Rscs Comm Str Tr,BCX,8.88,"1,338,672",9.01,8.69
BlackRock Science&Tech;,BST,30.08,"1,192,956",31.54,28.78
Blackrock Strategic Muni,BSD,12.68,"75,066",12.69,12.41
BlackRock Taxable Mun Bd,BBN,22.52,"1,033,806",22.63,22.15
BlackRock 2022 Glbl Incm,BGIO,9.49,"320,185",9.50,9.27
BlackRock Utilities Infr,BUI,19.81,"211,017",19.81,19.16
Blackstone Group,BX,31.95,"16,523,093",32.60,31.25
BlackstoneGSO LS Cr Inco,BGX,16.18,"298,045",16.32,16.07
Blackstone GSO Sr Float,BSL,18.46,"175,517",18.48,17.97
BlackstoneGSO Strat Cred,BGB,15.88,"663,564",15.93,15.76
Black Stone Minerals,BSM,16.55,"541,124",17.24,16.36
Blackstone Mortgage Cl A,BXMT,31.42,"3,895,246",31.90,30.90
H&R; Block,HRB,25.41,"10,489,135",25.97,24.82
Blue Apron Cl A,APRN,2.00,"12,894,655",2.13,1.83
Blue Cap Reinsurance,BCRH,12.20,"106,497",12.60,11.95
Bluegreen Vacations,BXG,21.17,"200,185",22.06,20.73
BlueLinx Holdings,BXC,32.59,"1,096,204",34.25,30.71
BlueStar Israel Tech,ITEQ,32.17,"36,676",32.60,31.42
BMO REX Micro FANG+,FNGD,44.75,"240,809",50.05,38.20
BMO REX Micro FANG+ 3X,FNGU,47.00,"740,595",57.88,42.00
Boardwalk Pipeline Ptrs,BWP,10.15,"4,934,248",10.50,9.96
Boeing,BA,327.88,"19,900,979",334.88,311.17
Boise Cascade,BCC,38.60,"2,171,287",39.85,37.90
Bonanza Creek Energy,BCEI,27.71,"824,351",27.99,26.37
Boot Barn Holdings,BOOT,17.73,"1,124,016",18.30,17.03
Booz Allen Hamilton Hldg,BAH,38.72,"3,256,904",39.04,37.34
BorgWarner,BWA,50.23,"4,715,938",50.63,48.38
Boston Beer Cl A,SAM,189.05,"550,129",192.85,185.55
Boston Properties,BXP,123.22,"2,864,517",124.47,118.70
Boston Prop 5.25%. Pfd. B,BXP.PB,24.61,"25,433",24.75,24.45
Boston Scientific,BSX,27.32,"32,704,781",27.77,26.55
Boulder Growth&Income;,BIF,10.78,"913,305",10.80,10.51
Box Cl A,BOX,20.55,"7,658,471",21.48,19.82
Boyd Gaming,BYD,31.86,"6,085,989",32.47,30.62
BP Midstream Partners,BPMP,17.84,"785,723",18.36,17.02
BP ADR,BP,40.54,"24,887,336",40.67,39.58
BP Prudhoe Bay Royalty Tr,BPT,23.90,"941,753",24.45,23.20
Brady Cl A,BRC,37.15,"1,151,950",37.65,36.45
Brand Value ETF,BVAL,15.35,"2,820",15.35,15.14
Brandywine Global Incm,BWG,12.89,"154,477",12.94,12.67
Brandywine Realty Trust,BDN,15.88,"4,997,475",15.96,15.21
BrasilAgro ADR,LND,3.80,"4,066",4.05,3.80
Braskem ADR,BAK,28.99,"1,211,784",29.25,26.66
Breakwave Dry Bulk,BDRY,22.78,"114,221",24.85,22.78
BRF ADR,BRFS,6.92,"9,683,079",7.29,6.67
Bridgepoint Education,BPI,6.74,"551,157",6.91,6.53
Briggs&Stratton;,BGG,21.41,"808,807",21.83,20.80
Bright Horizons,BFAM,99.72,"3,724,120",105.04,96.86
Bright Scholar Educ ADR,BEDU,15.44,"878,711",16.48,15.35
BrightSphere Invt Group,BSIG,15.76,"2,495,957",16.00,15.32
BrightSphere Nts 2031,BSA,23.65,"31,240",24.35,23.65
Brinker International,EAT,36.10,"3,258,188",36.58,34.57
Brinks,BCO,71.35,"1,624,602",72.20,69.35
Bristol-Myers,BMY,63.25,"24,021,209",63.75,61.73
Bristow Group,BRS,13.00,"1,869,570",13.52,12.61
British Amer Tobacco ADR,BTI,57.69,"10,706,302",58.73,55.15
Brixmor Property Group,BRX,15.25,"11,017,018",15.62,14.52
Broadridge Finl Solutions,BR,109.69,"3,445,878",110.05,105.30
Brookdale Senior Living,BKD,6.71,"26,131,970",7.08,6.59
Brookfield Asset Mgmt,BAM,39.00,"5,564,125",39.47,38.60
Brookfield Bus Partners,BBU,36.01,"50,425",36.09,35.14
Brookfield DTLA Fd Pfd A,DTLA.P,27.00,"98,401",27.37,25.95
BrookfieldGlbListedInfr,INF,11.71,"252,143",11.75,11.43
Brookfield Infrastructure,BIP,41.64,"908,942",42.08,40.42
Brookfield Real Assets,RA,21.77,"343,761",21.83,21.57
Brookfield Renewable Ptrs,BEP,31.13,"405,582",31.42,30.24
Brown&Brown;,BRO,25.44,"4,736,639",25.75,25.04
Brown-Forman Cl A,BF.A,53.33,"121,254",53.59,51.67
Brown-Forman Cl B,BF.B,54.40,"4,040,774",54.61,52.74
BRT Apartments,BRT,11.75,"158,124",11.80,11.31
Brunswick,BC,59.39,"3,008,697",60.17,57.80
BT Group ADR,BT,16.16,"3,786,145",16.34,15.54
Buckeye Partners,BPL,37.39,"6,785,204",39.32,35.24
Buckle,BKE,22.15,"2,589,870",22.90,20.60
Compania de Minas ADR,BVN,15.23,"3,774,987",15.27,14.31
Build-A-Bear Workshop,BBW,9.15,"482,807",9.55,8.55
Bunge Ltd,BG,73.94,"3,484,706",74.78,71.62
Burlington Stores,BURL,133.15,"2,646,765",133.91,129.31
Buzz US Sentiment Leaders,BUZ,32.74,"8,854",34.09,32.36
BWX Technologies,BWXT,63.53,"3,619,029",67.69,62.17
Byline Bancorp,BY,22.93,"211,513",23.64,22.27
CABCO Tr GS Cap Fltg Rate,GYB,23.00,"17,489",23.00,22.81
CABCO Tr SBC Com Fltg Rte,GYC,23.00,"6,180",23.00,22.00
Crp Ast Bkd Tr JCP 7.675%,PFH,13.27,"45,186",13.60,13.12
Cable One,CABO,687.11,"180,871",700.24,678.03
Cabot Corp,CBT,55.72,"1,849,143",56.63,54.47
Cabot Oil&Gas;,COG,23.98,"29,129,347",24.19,23.32
CACI Intl,CACI,151.35,"898,072",152.90,145.32
Cactus Cl A,WHD,26.93,"1,424,491",27.49,25.77
Cadence Bancorp,CADE,27.23,"1,071,662",27.81,26.58
CAE Inc,CAE,18.59,"1,029,371",18.62,17.76
CAI International,CAI,21.26,"965,274",21.80,20.41
Caleres,CAL,33.60,"1,200,835",34.47,32.42
California Resources,CRC,17.15,"6,999,600",18.17,16.10
Calif Water Svc Grp,CWT,37.25,"1,160,512",37.75,36.00
Calix,CALX,6.85,"526,737",7.00,6.65
Callaway Golf,ELY,16.36,"3,393,182",16.68,16.25
Callon Petroleum,CPE,13.24,"19,434,288",13.30,11.88
Callon Petrol 10% Pfd. A,CPE.PA,50.70,"19,133",51.03,50.50
Cambrex Corp,CBM,52.30,"681,731",53.05,51.40
Cambria Core Equity ETF,CCOR,25.07,"444,513",25.26,24.91
Cambria Gl Momentum,GMOM,27.42,"191,153",27.54,26.89
Cambria Global Value ETF,GVAL,26.30,"104,874",26.38,25.86
Cambria Shareholder Yield,SYLD,37.72,"31,059",37.99,36.97
Camden Property Trust,CPT,84.18,"2,119,982",84.92,81.14
Cameco Corp,CCJ,9.09,"6,864,187",9.26,8.87
Campbell Soup,CPB,43.31,"10,783,446",44.09,41.94
Camping World Cl A,CWH,32.25,"5,911,571",32.86,29.80
Canada Goose Holdings,GOOS,33.42,"2,084,143",35.38,32.61
Cdn Imperial Bank Of Comm,CM,88.28,"2,059,608",89.32,86.93
Canadian Natl Railway,CNI,73.13,"6,973,732",73.38,70.97
Canadian Natural Res,CNQ,31.47,"11,672,420",31.50,29.43
Canadian Pacific Railway,CP,176.50,"1,576,664",178.45,172.00
C&J; Energy Services,CJ,25.82,"6,224,957",26.53,23.99
Cannae Holdings,CNNE,18.86,"2,059,897",19.23,18.55
Canon ADR,CAJ,36.45,"1,445,341",36.61,35.80
Cantel Medical,CMD,111.41,"1,109,808",114.17,107.23
Capital One Fincl wt,COF.WS,53.70,"21,274",54.35,50.99
Capital One Fincl,COF,95.82,"9,749,302",96.45,92.66
Capital One Pfd. G,COF.PG,24.74,"244,020",24.84,24.62
Capital One Pfd. C,COF.PC,25.93,"75,993",26.04,25.89
Capital One Pfd. D,COF.PD,26.43,"76,042",26.60,26.33
Capital One Pfd. H,COF.PH,25.99,"65,459",26.10,25.91
Cap One Finl Pfd. B,COF.PP,25.30,"144,231",25.32,25.16
Capital One Pfd. F,COF.PF,26.58,"110,689",26.65,26.50
Capital Senior,CSU,10.75,"1,463,862",11.49,10.63
Capitol Invt IV,CIC.U,10.12,"11,106",10.12,10.10
Capitol Invt IV Wt,CIC.WS,1.18,200,1.18,1.18
Capstead Mortgage,CMO,8.65,"3,330,463",8.72,8.47
Capstead Mortgage Pfd. E,CMO.PE,24.94,"155,830",25.18,24.70
CARBO Ceramics,CRR,7.25,"1,706,797",8.15,7.10
Cardinal Health,CAH,62.68,"11,562,393",63.15,60.76
Care.com,CRCM,16.27,"1,549,598",17.95,15.80
Carlisle Cos,CSL,104.41,"1,710,237",105.72,102.72
CarMax,KMX,61.94,"9,116,665",62.55,59.55
Carnival,CCL,65.58,"18,406,007",66.89,64.25
Carnival ADR,CUK,65.50,"1,363,763",66.66,64.36
Carpenter Technology,CRS,44.12,"2,291,178",44.45,42.44
Carriage Services,CSV,27.66,"309,557",28.07,27.27
Cars.com,CARS,28.33,"4,904,993",28.60,27.50
Carters,CRI,104.10,"2,832,923",107.36,103.74
Carvana Cl A,CVNA,22.93,"1,897,269",23.50,21.01
Castlight Health Cl B,CSLT,3.65,"665,992",3.70,3.35
Catalent,CTLT,41.06,"3,522,841",41.34,38.97
CatchMark Timber Trust,CTT,12.47,"1,364,155",12.70,12.26
Caterpillar,CAT,147.38,"19,228,783",151.12,143.63
Cato Cl A,CATO,14.74,"1,610,982",15.45,14.28
Brasil DistrGrupo Pao ADR,CBD,20.20,"1,310,259",20.32,19.29
CBIZ,CBZ,18.25,"531,220",18.60,18.05
CBL&Assocs; Properties,CBL,4.17,"20,813,626",4.63,4.16
CBL&Assocs; Properties D,CBL.PD,17.18,"554,525",17.30,16.30
CBL&Associates; Pfd E,CBL.PE,15.90,"116,713",15.99,15.06
CBREClarionGlblRlEstIncm,IGR,7.31,"1,655,927",7.32,7.17
CBRE Group,CBRE,47.22,"8,013,223",47.62,45.60
CBS Cl A,CBS.A,51.44,"17,613",53.42,50.15
CBS Cl B,CBS,51.39,"16,651,493",53.43,49.61
Cedar Fair Dep Rec,FUN,63.88,"316,411",65.48,63.88
Cedar Realty Trust,CDR,3.94,"2,821,933",4.02,3.62
Cedar Realty Pfd. B,CDR.PB,22.88,"21,894",23.63,22.80
Cedar Realty Pfd. C,CDR.PC,20.86,"96,337",21.25,20.45
Celadon Group,CGI,3.70,"1,572,850",4.20,3.50
Celanese A,CE,100.21,"4,826,057",101.63,96.84
Celestica Inc,CLS,10.35,"2,240,390",10.80,10.23
Cellcom Israel,CEL,7.13,"67,208",7.38,6.87
Cementos Pacasmayo ADR,CPAC,12.00,"7,249",12.60,11.99
Cemex ADR,CX,6.62,"48,557,188",7.07,6.50
Cenovus Energy,CVE,8.54,"14,679,969",8.54,8.00
Centene,CNC,106.87,"5,890,999",107.06,100.00
Ctr Coast Brookfield MLP,CEN,8.47,"963,532",8.64,8.16
CenterPoint Energy,CNP,27.40,"22,730,847",27.49,26.43
Centrais Elet Brasil ADR,EBR,6.35,"1,297,602",6.86,6.23
Cent Ele Brasil pfd. ADR,EBR.B,7.14,"101,552",7.91,7.13
Ctrl&Eastern; Europe Fd,CEE,25.63,"66,819",26.62,25.03
Central Pacific Financial,CPF,28.46,"670,538",28.83,27.81
Central Puerto ADR,CEPU,17.00,"418,444",17.45,16.51
Century Communities,CCS,29.95,"771,771",30.85,29.15
CenturyLink,CTL,16.43,"52,116,038",16.61,15.67
CenturyLink 6.5% Nts 2056,CTBB,21.43,"206,577",21.55,21.27
CF Industries Holdings,CF,37.73,"12,575,893",38.01,36.37
CGG ADR,CGG,2.29,"399,316",2.30,1.88
CGI Group Cl A,GIB,57.64,"793,481",58.17,56.26
Change Fin Div Imp US LC,CHGX,18.70,589,18.71,18.70
ChannelAdvisor,ECOM,9.10,"277,691",9.20,8.75
Charles River Labs Intl,CRL,106.74,"1,413,865",109.09,104.87
Charles Schwab Dep Pfd C,SCHW.PC,26.04,"115,504",26.17,26.04
Charles Schwab Dep Pfd D,SCHW.PD,26.19,"103,810",26.27,26.07
Chatham Lodging Trust,CLDT,19.15,"1,452,108",19.57,18.53
Cheetah Mobile ADR,CMCM,13.37,"12,881,410",13.55,10.76
Chegg Inc.,CHGG,20.66,"10,676,859",22.45,19.50
Chemed,CHE,272.86,"555,345",281.31,272.00
Chemours,CC,48.71,"11,278,478",49.49,46.09
Cherry Hill Mortgage Invt,CHMI,17.54,"555,060",17.89,17.14
Cherry Hill Mtg Pfd. A,CHMI.PA,24.98,"69,262",25.36,24.81
Chesapeake Energy,CHK,3.02,"118,141,889",3.13,2.82
Chesapeake Engy 4.5% pfd.,CHK.PD,49.26,"25,881",50.18,48.00
Chesapeake Granite Wash,CHKR,1.25,"465,606",1.30,1.20
Chesapeake Lodging Trust,CHSP,27.81,"1,657,053",28.19,26.23
Chesapeake Utilities,CPK,70.35,"879,634",72.05,67.10
Chevron,CVX,114.04,"25,757,703",116.86,112.06
Chicago Bridge&Iron;,CBI,14.40,"14,706,302",16.75,13.54
Chico's FAS,CHS,9.04,"9,575,203",9.26,8.81
Chimera Investment,CIM,17.41,"5,462,854",17.75,17.03
Chimera Inv 8% Pfd. A,CIM.PA,25.38,"52,622",25.40,25.01
Chimera Inv Fix/Flt Pfd B,CIM.PB,25.48,"133,405",25.49,25.12
China Distance Educ ADR,DL,8.17,"156,377",8.42,8.00
China Eastern Air ADR,CEA,36.80,"73,590",38.54,34.97
China Fund,CHN,22.14,"85,727",22.45,21.83
China Green Agriculture,CGA,1.26,"253,225",1.30,1.25
China Life Insurance ADR,LFC,13.99,"2,573,772",14.15,13.76
China Mobile ADR,CHL,45.75,"4,678,576",46.31,44.59
China New Borun ADR,BORN,1.34,"75,706",1.44,1.33
China Online Educ ADR,COE,9.72,"125,855",12.00,9.58
China Petroleum ADR,SNP,88.48,"887,915",88.87,85.24
China Rapid Finance ADR,XRF,4.98,"316,051",5.09,4.63
China So Airlines ADR,ZNH,52.63,"254,169",55.59,49.46
China Telecom ADR,CHA,44.48,"410,699",44.93,41.78
China Unicom HK ADR,CHU,12.83,"2,308,807",12.88,11.87
China Yuchai Intl,CYD,21.17,"333,409",21.80,19.85
China Zenix Auto Intl ADR,ZX,1.10,"352,321",1.19,1.00
Chipotle Mexican Grill,CMG,323.11,"2,328,332",333.21,316.22
Choice Hotels Intl,CHH,80.15,"927,337",82.15,79.80
Christopher&Banks;,CBK,1.07,"952,358",1.09,1.00
Chubb,CB,136.77,"6,287,600",138.99,135.21
Chunghwa Telecom ADR,CHT,38.86,"695,773",38.93,37.88
Church&Dwight;,CHD,50.36,"8,270,562",50.55,46.93
Ciena,CIEN,25.90,"11,331,979",26.40,25.21
Cigna,CI,167.74,"12,910,814",170.13,164.11
Cimarex Energy,XEC,93.50,"5,180,088",95.25,92.25
Cincinnati Bell,CBB,13.85,"1,221,148",13.95,13.35
Cincinnati Bell Pfd.,CBB.PB,48.92,"14,428",49.55,48.50
Cinemark Holdings,CNK,37.67,"3,696,737",39.22,37.09
Ciner Resources,CINR,27.88,"16,974",27.92,26.46
Circor International,CIR,42.66,"530,804",43.36,40.58
Cision,CISN,11.57,"1,560,479",11.93,11.34
CIT Group,CIT,51.50,"3,517,597",52.57,51.11
Velocity Daily 4X CHF USD,UCHF,27.90,600,29.16,27.90
Velocity Daily 4X EUR USD,UEUR,29.15,104,...,...
Velocity Daily 4X GBP USD,UGBP,28.10,402,31.19,28.10
Velocity Daily 4X JPY USD,UJPY,31.24,"2,558",33.04,30.52
Velocity Daily 4X USD AUD,DAUD,23.28,"1,234",23.28,22.45
Velocity Daily 4X USD CHF,DCHF,21.68,400,21.71,21.68
Velocity Daily 4X USD EUR,DEUR,20.91,"8,063",20.91,20.00
Velocity Daily 4X USD GBP,DGBP,20.26,403,20.26,19.59
Velocity Daily 4X USD JPY,DJPY,19.38,422,19.74,18.57
Citigroup,C,67.50,"83,386,196",70.62,67.50
Citigroup Cap XIII TruPS,C.PN,27.19,"1,094,769",27.19,26.98
Citigroup Dep. Pfd. S,C.PS,26.29,"238,855",26.51,26.20
Citigroup Pfd. K,C.PK,28.03,"561,520",28.20,27.99
Citigroup Pfd. J Fix/Fltg,C.PJ,28.56,"295,296",28.71,28.40
Citigroup Pfd L,C.PL,26.26,"137,505",26.47,26.26
Citigroup Wt 2019,C.WS.A,.05,"2,703,770",.07,.04
Citigroup 5.80% Pfd. C,C.PC,25.42,"136,726",25.53,25.22
Citizens Financial Group,CFG,41.98,"23,132,291",43.42,40.80
Citizens Cl A,CIA,7.32,"274,686",7.58,7.02
City Office REIT,CIO,11.56,"1,110,141",11.77,11.11
City Office REIT Pfd A,CIO.PA,23.80,"37,049",23.80,22.78
Civeo,CVEO,3.77,"3,150,694",4.05,3.57
Civitas Solutions,CIVI,15.40,"720,046",15.57,14.80
Clymre CEF GS Connected,GCE,15.30,"1,625",15.55,15.16
Clean Harbors,CLH,48.81,"1,448,933",49.74,48.01
ClearBridge Amer Engy,CBA,6.81,"1,135,750",6.90,6.53
ClearBridge Engy MLP Fd,CEM,12.59,"1,399,906",13.05,12.37
Clearbridge Engy MLP Opp,EMO,9.82,"407,897",9.97,9.56
Clearbridge Engy MLP TR,CTR,9.84,"586,764",10.05,9.50
Clear Channel Outdoor,CCO,4.90,"438,785",5.05,4.70
ClearShares OCIO ETF,OCIO,26.48,"3,500",26.53,26.27
Clearwater Paper,CLW,39.10,"431,685",39.45,37.20
Cleveland-Cliffs,CLF,6.95,"42,202,259",6.98,6.50
Clipper Realty,CLPR,8.47,"190,976",8.55,7.75
Clorox Co,CLX,133.11,"5,142,190",134.03,123.64
Cloudera,CLDR,21.58,"7,358,940",22.22,20.12
Cloud Peak Energy,CLD,2.91,"5,411,445",3.48,2.76
CMS Energy,CMS,45.29,"13,641,263",45.58,43.31
CMS Energy Deb. 2078,CMSA,25.00,"223,742",25.15,24.96
CNA Financial,CNA,49.35,"910,128",50.29,48.88
CNH Industrial,CNHI,12.40,"7,220,777",12.50,12.05
CNO Financial Group,CNO,21.67,"4,185,801",22.21,21.42
CNOOC ADR,CEO,147.87,"519,423",151.43,145.03
CNX Midstream Partners,CNXM,18.39,"471,042",18.91,17.89
CNX Resources,CNX,15.43,"12,433,531",15.91,15.13
Coca-Cola,KO,43.43,"49,107,878",43.92,42.25
Coca-Cola European Ptrs,CCE,41.66,"6,896,467",41.83,40.10
Coca-Cola Femsa ADR,KOF,66.43,"336,718",67.72,63.90
Coeur Mining,CDE,8.00,"10,380,373",8.24,7.67
Cohen&Steers; Dur Pfd,LDP,25.52,"290,770",25.68,25.30
CohnStrsPfdInco,RNP,18.69,"462,678",18.69,18.07
Cohen&Steers;,CNS,40.66,"541,292",41.21,39.92
Cohen&Steers; Infr Fd,UTF,21.41,"891,840",21.47,20.90
C&S; MLP Incm&Engy; Opp,MIE,9.08,"422,611",9.25,8.86
Cohen&Steers; Qual Inc,RQI,11.85,"1,020,991",11.93,11.36
Cohen&Strs; Sel Prf Inco,PSF,26.03,"124,239",26.03,25.57
Cohen&Steers; TR,RFI,11.85,"294,615",11.96,11.56
CohSteer Opprtnty Fd,FOF,12.32,"296,659",12.43,12.20
ChnStrGbInc,INB,9.14,"320,488",9.28,9.05
Colfax,CFX,31.90,"2,556,952",32.19,30.74
Colgate-Palmolive,CL,71.68,"15,779,977",72.29,67.86
Colony NorthStar Credit,CLNC,18.95,"1,716,275",19.39,18.70
Colony NorthStar,CLNS,5.62,"45,759,496",5.79,5.51
Colony NorthStar Pfd. J,CLNS.PJ,22.99,"662,947",23.00,22.61
Colony NorthStar Pfd. H,CLNS.PH,22.75,"77,687",22.83,22.55
Colony NorthStar Pfd. I,CLNS.PI,22.96,"100,656",23.02,22.61
Colony NorthStar Pfd. G,CLNS.PG,23.25,"16,871",23.63,23.11
Colony NorthStar Pfd. B,CLNS.PB,24.76,"84,474",24.81,24.41
Colony NorthStar Pfd. D,CLNS.PD,24.97,"48,910",24.98,24.71
Colony NorthStar Pfd. E,CLNS.PE,25.05,"115,429",25.33,24.89
Columbia Beyond BRICs ETF,BBRC,19.50,"6,405",19.70,19.26
Columbia Div Fixed Income,DIAL,19.55,"37,049",19.95,19.43
Columbia EM Core ex-China,XCEM,28.54,"4,324",28.80,27.97
Columbia EM Consumer,ECON,26.48,"535,265",26.75,25.88
Columbia EM Quality Div,HILO,16.01,"1,362",16.20,15.84
Columbia India Consumer,INCO,46.28,"40,847",46.30,45.50
Columbia India Infr ETF,INXX,14.13,"49,083",14.16,13.85
Columbia India Small Cap,SCIN,19.82,"11,709",19.92,19.40
Columbia Property Trust,CXP,20.46,"2,709,104",20.62,19.55
CLSeligmn Prem Tech Gr Fd,STK,21.95,"380,143",22.85,21.50
Columbia Sust Global Eq,ESGW,29.11,421,29.11,29.11
Columbia Sust Intl Equity,ESGN,29.42,"1,850",29.43,28.99
Columbia Sust US Equity,ESGS,29.07,519,29.07,29.07
Comcast 2% DECS Sprint,CCZ,52.00,625,...,...
Comerica Inc,CMA,95.93,"6,879,209",97.36,93.38
Comerica Wt,CMA.WS,65.00,882,68.19,65.00
Comfort Systems USA,FIX,41.25,"588,908",41.55,39.90
Commercial Metals,CMC,20.46,"10,358,244",21.37,19.50
